Speaker,start,end,time,ITL,ICL
Music,0:00:00,0:00:44,0:00:44,,
Music,0:01:08,0:01:32,0:00:24,,
Music,0:01:45,0:02:31,0:00:46,,
Music,0:02:47,0:02:50,0:00:03,,
Music,0:02:59,0:04:06,0:01:07,,
Music,0:04:09,0:05:36,0:01:27,,
Music,0:05:38,0:06:17,0:00:39,,
Music,0:06:31,0:07:37,0:01:06,,
Music,0:07:43,0:08:54,0:01:11,,
Music,0:09:09,0:10:27,0:01:18,,
Music,0:10:31,0:11:06,0:00:35,,
Music,0:11:11,0:11:18,0:00:07,,
Music,0:11:25,0:11:29,0:00:04,,
Music,0:11:30,0:11:36,0:00:06,,
Music,0:11:43,0:11:48,0:00:05,,
Music,0:12:10,0:13:00,0:00:50,,
Music,0:13:07,0:13:35,0:00:28,,
Music,0:13:37,0:14:43,0:01:06,,
Music,0:14:49,0:15:56,0:01:07,,
Music,0:15:59,0:16:10,0:00:11,,
Music,0:16:15,0:16:29,0:00:14,,
Music,0:16:32,0:17:01,0:00:29,,
Music,0:17:03,0:17:08,0:00:05,,
Music,0:17:11,0:17:52,0:00:41,,
Music,0:17:55,0:17:59,0:00:04,,
Music,0:18:05,0:18:09,0:00:04,,
Music,0:18:13,0:18:18,0:00:05,,
Music,0:18:25,0:18:28,0:00:03,,
Music,0:18:49,0:18:59,0:00:10,,
Music,0:19:06,0:19:16,0:00:10,,
Music,0:19:39,0:20:40,0:01:01,,
Music,0:20:43,0:20:52,0:00:09,,
Music,0:20:59,0:21:08,0:00:09,,
Music,0:21:14,0:21:21,0:00:07,,
Music,0:21:23,0:21:57,0:00:34,,
S-Speech,0:00:25,0:00:26,0:00:01,,
S-Speech,0:00:43,0:00:52,0:00:09,,
S-Speech,0:00:54,0:00:59,0:00:05,,
S-Speech,0:01:00,0:01:02,0:00:02,,
S-Speech,0:01:03,0:01:16,0:00:13,,
S-Speech,0:01:23,0:01:39,0:00:16,,
S-Speech,0:01:39,0:01:45,0:00:06,,
S-Speech,0:01:57,0:01:58,0:00:01,,
S-Speech,0:02:23,0:02:24,0:00:01,,
S-Speech,0:02:27,0:02:30,0:00:03,,
S-Speech,0:02:31,0:02:34,0:00:03,,
S-Speech,0:02:42,0:02:53,0:00:11,,
S-Speech,0:02:56,0:02:58,0:00:02,,
S-Speech,0:03:06,0:03:20,0:00:14,,
S-Speech,0:03:45,0:03:46,0:00:01,,
S-Speech,0:03:48,0:03:50,0:00:02,,
