Speaker,start,end,time,ITL,ICL
Music,0:00:14,0:00:17,0:00:03,,
Music,0:00:18,0:00:36,0:00:18,,
Music,0:00:36,0:00:50,0:00:14,,
Music,0:00:51,0:00:55,0:00:04,,
Music,0:00:55,0:01:04,0:00:09,,
Music,0:01:05,0:01:14,0:00:09,,
Music,0:02:00,0:02:04,0:00:04,,
Music,0:02:07,0:02:12,0:00:05,,
Music,0:02:13,0:02:17,0:00:04,,
Music,0:02:18,0:02:23,0:00:05,,
Music,0:02:23,0:02:29,0:00:06,,
Music,0:02:31,0:02:45,0:00:14,,
Music,0:02:47,0:02:58,0:00:11,,
Music,0:03:05,0:03:10,0:00:05,,
Music,0:03:12,0:03:16,0:00:04,,
Music,0:03:22,0:03:28,0:00:06,,
Music,0:03:30,0:03:47,0:00:17,,
Music,0:03:50,0:03:55,0:00:05,,
Music,0:03:57,0:04:06,0:00:09,,
Music,0:04:06,0:04:11,0:00:05,,
Music,0:04:18,0:04:21,0:00:03,,
Music,0:04:27,0:04:36,0:00:09,,
Music,0:04:40,0:04:59,0:00:19,,
Music,0:05:01,0:05:09,0:00:08,,
Music,0:05:18,0:05:33,0:00:15,,
S-Speech,0:00:06,0:00:10,0:00:04,,
S-Speech,0:01:17,0:01:18,0:00:01,,
S-Speech,0:01:21,0:01:22,0:00:01,,
S-Speech,0:01:25,0:01:27,0:00:02,,
S-Speech,0:03:01,0:03:02,0:00:01,,
S-Speech,0:03:14,0:03:15,0:00:01,,
S-Speech,0:04:31,0:04:32,0:00:01,,
S-Speech,0:04:54,0:04:55,0:00:01,,
S-Speech,0:05:03,0:05:04,0:00:01,,
S-Speech,0:05:21,0:05:22,0:00:01,,
S-Speech,0:05:23,0:05:24,0:00:01,,
T-Speech,0:00:01,0:00:03,0:00:02,Other,"Asking Question
"
T-Speech,0:00:04,0:00:05,0:00:01,Other,"Giving Subjective Information
"
T-Speech,0:00:11,0:00:13,0:00:02,Other,"Giving Practice
"
T-Speech,0:01:14,0:01:16,0:00:02,Technique,"Giving Feedback
"
T-Speech,0:01:19,0:01:20,0:00:01,Technique,"Giving Feedback
"
T-Speech,0:01:28,0:01:30,0:00:02,Technique,"Giving Objective Information
"
T-Speech,0:01:31,0:01:32,0:00:01,Technique,"Giving Feedback
"
T-Speech,0:01:33,0:01:35,0:00:02,Technique,"Asking Question
"
T-Speech,0:01:37,0:01:39,0:00:02,Technique,"Giving Feedback
"
T-Speech,0:01:41,0:01:43,0:00:02,Technique,"Giving Feedback
"
T-Speech,0:01:43,0:01:44,0:00:01,Technique,"Asking Question
"
T-Speech,0:01:45,0:01:46,0:00:01,Technique,"Giving Subjective Information
"
T-Speech,0:01:47,0:01:49,0:00:02,Technique,"Giving Subjective Information
"
T-Speech,0:01:50,0:01:52,0:00:02,Technique,"Giving Subjective Information
"
T-Speech,0:01:53,0:01:56,0:00:03,Technique,"Giving Subjective Information
"
T-Speech,0:01:57,0:01:59,0:00:02,Technique,"Giving Objective Information
"
T-Speech,0:02:04,0:02:06,0:00:02,Other,"Asking Question
"
T-Speech,0:02:11,0:02:12,0:00:01,Other,"Giving Subjective Information
"
T-Speech,0:02:21,0:02:22,0:00:01,Other,"Giving Subjective Information
"
T-Speech,0:02:31,0:02:33,0:00:02,Other,"Asking Question
"
T-Speech,0:02:35,0:02:36,0:00:01,Other,"Giving Feedback
"
T-Speech,0:02:37,0:02:39,0:00:02,Technique,"Giving Feedback
"
T-Speech,0:02:43,0:02:45,0:00:02,Technique,"Giving Feedback
"
T-Speech,0:02:48,0:02:52,0:00:04,Technique,"Giving Practice
"
T-Speech,0:02:56,0:02:57,0:00:01,Technique,"Asking Question
"
